Temperature - (Celsius), Year, Statistics, Country, ISO3
21.4792, 1999, Aug Average, Tanzania, United Republic of, TZA
22.7581, 1999, Sep Average, Tanzania, United Republic of, TZA
23.3471, 1999, Oct Average, Tanzania, United Republic of, TZA
23.7117, 1999, Nov Average, Tanzania, United Republic of, TZA
23.9747, 1999, Dec Average, Tanzania, United Republic of, TZA
23.3864, 2000, Jan Average, Tanzania, United Republic of, TZA
23.6904, 2000, Feb Average, Tanzania, United Republic of, TZA
23.4749, 2000, Mar Average, Tanzania, United Republic of, TZA
23.368, 2000, Apr Average, Tanzania, United Republic of, TZA
22.9389, 2000, May Average, Tanzania, United Republic of, TZA
20.9288, 2000, Jun Average, Tanzania, United Republic of, TZA
20.6888, 2000, Jul Average, Tanzania, United Republic of, TZA
21.7604, 2000, Aug Average, Tanzania, United Republic of, TZA
22.6886, 2000, Sep Average, Tanzania, United Republic of, TZA
23.7659, 2000, Oct Average, Tanzania, United Republic of, TZA
23.8316, 2000, Nov Average, Tanzania, United Republic of, TZA
23.1036, 2000, Dec Average, Tanzania, United Republic of, TZA
23.1727, 2001, Jan Average, Tanzania, United Republic of, TZA
23.8908, 2001, Feb Average, Tanzania, United Republic of, TZA
23.8885, 2001, Mar Average, Tanzania, United Republic of, TZA
23.0127, 2001, Apr Average, Tanzania, United Republic of, TZA
22.4405, 2001, May Average, Tanzania, United Republic of, TZA
20.6652, 2001, Jun Average, Tanzania, United Republic of, TZA
20.4921, 2001, Jul Average, Tanzania, United Republic of, TZA
21.7855, 2001, Aug Average, Tanzania, United Republic of, TZA
23.086, 2001, Sep Average, Tanzania, United Republic of, TZA
24.2399, 2001, Oct Average, Tanzania, United Republic of, TZA
24.3042, 2001, Nov Average, Tanzania, United Republic of, TZA
23.9748, 2001, Dec Average, Tanzania, United Republic of, TZA
23.5558, 2002, Jan Average, Tanzania, United Republic of, TZA
23.6148, 2002, Feb Average, Tanzania, United Republic of, TZA
23.8027, 2002, Mar Average, Tanzania, United Republic of, TZA
23.265, 2002, Apr Average, Tanzania, United Republic of, TZA
22.5738, 2002, May Average, Tanzania, United Republic of, TZA
20.9064, 2002, Jun Average, Tanzania, United Republic of, TZA
21.4192, 2002, Jul Average, Tanzania, United Republic of, TZA
21.9737, 2002, Aug Average, Tanzania, United Republic of, TZA
23.0615, 2002, Sep Average, Tanzania, United Republic of, TZA
24.4674, 2002, Oct Average, Tanzania, United Republic of, TZA
24.2129, 2002, Nov Average, Tanzania, United Republic of, TZA
23.9342, 2002, Dec Average, Tanzania, United Republic of, TZA
24.0021, 2003, Jan Average, Tanzania, United Republic of, TZA
24.1908, 2003, Feb Average, Tanzania, United Republic of, TZA
24.6746, 2003, Mar Average, Tanzania, United Republic of, TZA
23.72, 2003, Apr Average, Tanzania, United Republic of, TZA
22.8171, 2003, May Average, Tanzania, United Republic of, TZA
21.6211, 2003, Jun Average, Tanzania, United Republic of, TZA
20.4182, 2003, Jul Average, Tanzania, United Republic of, TZA
21.6895, 2003, Aug Average, Tanzania, United Republic of, TZA
23.1725, 2003, Sep Average, Tanzania, United Republic of, TZA
24.3448, 2003, Oct Average, Tanzania, United Republic of, TZA
24.9328, 2003, Nov Average, Tanzania, United Republic of, TZA
24.351, 2003, Dec Average, Tanzania, United Republic of, TZA
24.4013, 2004, Jan Average, Tanzania, United Republic of, TZA
24.2888, 2004, Feb Average, Tanzania, United Republic of, TZA
24.0985, 2004, Mar Average, Tanzania, United Republic of, TZA
22.9856, 2004, Apr Average, Tanzania, United Republic of, TZA
22.2803, 2004, May Average, Tanzania, United Republic of, TZA
20.7443, 2004, Jun Average, Tanzania, United Republic of, TZA
20.7864, 2004, Jul Average, Tanzania, United Republic of, TZA
22.4771, 2004, Aug Average, Tanzania, United Republic of, TZA
22.8375, 2004, Sep Average, Tanzania, United Republic of, TZA
23.7663, 2004, Oct Average, Tanzania, United Republic of, TZA
24.2826, 2004, Nov Average, Tanzania, United Republic of, TZA
23.1348, 2004, Dec Average, Tanzania, United Republic of, TZA
23.4925, 2005, Jan Average, Tanzania, United Republic of, TZA
25.2944, 2005, Feb Average, Tanzania, United Republic of, TZA
24.6083, 2005, Mar Average, Tanzania, United Republic of, TZA
23.571, 2005, Apr Average, Tanzania, United Republic of, TZA
22.6084, 2005, May Average, Tanzania, United Republic of, TZA
21.9924, 2005, Jun Average, Tanzania, United Republic of, TZA
20.7672, 2005, Jul Average, Tanzania, United Republic of, TZA
21.8186, 2005, Aug Average, Tanzania, United Republic of, TZA
23.1577, 2005, Sep Average, Tanzania, United Republic of, TZA
24.0881, 2005, Oct Average, Tanzania, United Republic of, TZA
24.5305, 2005, Nov Average, Tanzania, United Republic of, TZA
25.0786, 2005, Dec Average, Tanzania, United Republic of, TZA
24.2426, 2006, Jan Average, Tanzania, United Republic of, TZA
24.1783, 2006, Feb Average, Tanzania, United Republic of, TZA
24.1336, 2006, Mar Average, Tanzania, United Republic of, TZA
22.4615, 2006, Apr Average, Tanzania, United Republic of, TZA
22.3043, 2006, May Average, Tanzania, United Republic of, TZA
21.0464, 2006, Jun Average, Tanzania, United Republic of, TZA
20.6785, 2006, Jul Average, Tanzania, United Republic of, TZA
21.9098, 2006, Aug Average, Tanzania, United Republic of, TZA
22.5307, 2006, Sep Average, Tanzania, United Republic of, TZA
24.4783, 2006, Oct Average, Tanzania, United Republic of, TZA
23.5329, 2006, Nov Average, Tanzania, United Republic of, TZA
22.7713, 2006, Dec Average, Tanzania, United Republic of, TZA
23.2148, 2007, Jan Average, Tanzania, United Republic of, TZA
23.2439, 2007, Feb Average, Tanzania, United Republic of, TZA
23.3079, 2007, Mar Average, Tanzania, United Republic of, TZA
22.8675, 2007, Apr Average, Tanzania, United Republic of, TZA
22.4509, 2007, May Average, Tanzania, United Republic of, TZA
21.0342, 2007, Jun Average, Tanzania, United Republic of, TZA
20.1355, 2007, Jul Average, Tanzania, United Republic of, TZA
21.5293, 2007, Aug Average, Tanzania, United Republic of, TZA
23.6373, 2007, Sep Average, Tanzania, United Republic of, TZA
24.2981, 2007, Oct Average, Tanzania, United Republic of, TZA
24.0232, 2007, Nov Average, Tanzania, United Republic of, TZA
23.5991, 2007, Dec Average, Tanzania, United Republic of, TZA
23.4361, 2008, Jan Average, Tanzania, United Republic of, TZA
22.5983, 2008, Feb Average, Tanzania, United Republic of, TZA
22.7225, 2008, Mar Average, Tanzania, United Republic of, TZA
22.3311, 2008, Apr Average, Tanzania, United Republic of, TZA
21.9202, 2008, May Average, Tanzania, United Republic of, TZA
20.1372, 2008, Jun Average, Tanzania, United Republic of, TZA
20.477, 2008, Jul Average, Tanzania, United Republic of, TZA
21.6788, 2008, Aug Average, Tanzania, United Republic of, TZA
23.503, 2008, Sep Average, Tanzania, United Republic of, TZA
24.09, 2008, Oct Average, Tanzania, United Republic of, TZA
24.0079, 2008, Nov Average, Tanzania, United Republic of, TZA
23.6105, 2008, Dec Average, Tanzania, United Republic of, TZA
24.0206, 2009, Jan Average, Tanzania, United Republic of, TZA
23.1646, 2009, Feb Average, Tanzania, United Republic of, TZA
23.5705, 2009, Mar Average, Tanzania, United Republic of, TZA
22.7992, 2009, Apr Average, Tanzania, United Republic of, TZA
22.3534, 2009, May Average, Tanzania, United Republic of, TZA
21.6265, 2009, Jun Average, Tanzania, United Republic of, TZA
20.5867, 2009, Jul Average, Tanzania, United Republic of, TZA
21.9359, 2009, Aug Average, Tanzania, United Republic of, TZA
