Rainfall - (MM), Year, Statistics, Country, ISO3
148.863, 2001, Dec Average, Peru, PER
175.623, 2002, Jan Average, Peru, PER
255.544, 2002, Feb Average, Peru, PER
205.431, 2002, Mar Average, Peru, PER
167.751, 2002, Apr Average, Peru, PER
110.606, 2002, May Average, Peru, PER
49.491, 2002, Jun Average, Peru, PER
75.2771, 2002, Jul Average, Peru, PER
58.6176, 2002, Aug Average, Peru, PER
69.2207, 2002, Sep Average, Peru, PER
170.165, 2002, Oct Average, Peru, PER
160.812, 2002, Nov Average, Peru, PER
160.288, 2002, Dec Average, Peru, PER
189.31, 2003, Jan Average, Peru, PER
239.843, 2003, Feb Average, Peru, PER
207.971, 2003, Mar Average, Peru, PER
145.531, 2003, Apr Average, Peru, PER
183.389, 2003, May Average, Peru, PER
137.641, 2003, Jun Average, Peru, PER
71.0361, 2003, Jul Average, Peru, PER
69.9413, 2003, Aug Average, Peru, PER
97.7356, 2003, Sep Average, Peru, PER
107.628, 2003, Oct Average, Peru, PER
149.874, 2003, Nov Average, Peru, PER
236.129, 2003, Dec Average, Peru, PER
150.978, 2004, Jan Average, Peru, PER
194.916, 2004, Feb Average, Peru, PER
184.332, 2004, Mar Average, Peru, PER
111.623, 2004, Apr Average, Peru, PER
149.234, 2004, May Average, Peru, PER
153.382, 2004, Jun Average, Peru, PER
160.332, 2004, Jul Average, Peru, PER
88.2567, 2004, Aug Average, Peru, PER
88.2181, 2004, Sep Average, Peru, PER
117.934, 2004, Oct Average, Peru, PER
136.305, 2004, Nov Average, Peru, PER
185.323, 2004, Dec Average, Peru, PER
103.608, 2005, Jan Average, Peru, PER
206.452, 2005, Feb Average, Peru, PER
207.136, 2005, Mar Average, Peru, PER
111.662, 2005, Apr Average, Peru, PER
56.1581, 2005, May Average, Peru, PER
87.8561, 2005, Jun Average, Peru, PER
61.5922, 2005, Jul Average, Peru, PER
64.8423, 2005, Aug Average, Peru, PER
68.3879, 2005, Sep Average, Peru, PER
163.105, 2005, Oct Average, Peru, PER
161.056, 2005, Nov Average, Peru, PER
171.214, 2005, Dec Average, Peru, PER
221.246, 2006, Jan Average, Peru, PER
210.478, 2006, Feb Average, Peru, PER
208.92, 2006, Mar Average, Peru, PER
163.647, 2006, Apr Average, Peru, PER
138.225, 2006, May Average, Peru, PER
124.747, 2006, Jun Average, Peru, PER
53.9458, 2006, Jul Average, Peru, PER
88.5724, 2006, Aug Average, Peru, PER
61.1403, 2006, Sep Average, Peru, PER
