Rainfall - (MM), Year, Statistics, Country, ISO3
188.987, 2000, Dec Average, Burundi, BDI
246.016, 2001, Jan Average, Burundi, BDI
102.081, 2001, Feb Average, Burundi, BDI
254.635, 2001, Mar Average, Burundi, BDI
104.578, 2001, Apr Average, Burundi, BDI
72.2648, 2001, May Average, Burundi, BDI
11.1058, 2001, Jun Average, Burundi, BDI
21.595, 2001, Jul Average, Burundi, BDI
46.1471, 2001, Aug Average, Burundi, BDI
84.4204, 2001, Sep Average, Burundi, BDI
116.114, 2001, Oct Average, Burundi, BDI
169.385, 2001, Nov Average, Burundi, BDI
151.662, 2001, Dec Average, Burundi, BDI
260.476, 2002, Jan Average, Burundi, BDI
108.01, 2002, Feb Average, Burundi, BDI
167.409, 2002, Mar Average, Burundi, BDI
176.788, 2002, Apr Average, Burundi, BDI
89.3899, 2002, May Average, Burundi, BDI
0.88767, 2002, Jun Average, Burundi, BDI
0.04258, 2002, Jul Average, Burundi, BDI
3.27269, 2002, Aug Average, Burundi, BDI
15.9054, 2002, Sep Average, Burundi, BDI
84.44, 2002, Oct Average, Burundi, BDI
177.928, 2002, Nov Average, Burundi, BDI
177.713, 2002, Dec Average, Burundi, BDI
177.535, 2003, Jan Average, Burundi, BDI
107.11, 2003, Feb Average, Burundi, BDI
157.842, 2003, Mar Average, Burundi, BDI
196.485, 2003, Apr Average, Burundi, BDI
146.893, 2003, May Average, Burundi, BDI
2.96236, 2003, Jun Average, Burundi, BDI
1.08282, 2003, Jul Average, Burundi, BDI
21.686, 2003, Aug Average, Burundi, BDI
75.1232, 2003, Sep Average, Burundi, BDI
143.146, 2003, Oct Average, Burundi, BDI
121.965, 2003, Nov Average, Burundi, BDI
126.571, 2003, Dec Average, Burundi, BDI
163.847, 2004, Jan Average, Burundi, BDI
82.3543, 2004, Feb Average, Burundi, BDI
74.8124, 2004, Mar Average, Burundi, BDI
79.9156, 2004, Apr Average, Burundi, BDI
20.4356, 2004, May Average, Burundi, BDI
2.99089, 2004, Jun Average, Burundi, BDI
1.27263, 2004, Jul Average, Burundi, BDI
7.62426, 2004, Aug Average, Burundi, BDI
326.157, 2004, Sep Average, Burundi, BDI
74.2163, 2004, Oct Average, Burundi, BDI
130.886, 2004, Nov Average, Burundi, BDI
164.812, 2004, Dec Average, Burundi, BDI
267.295, 2005, Jan Average, Burundi, BDI
69.0851, 2005, Feb Average, Burundi, BDI
161.64, 2005, Mar Average, Burundi, BDI
59.7215, 2005, Apr Average, Burundi, BDI
