Rainfall - (MM), Year, Statistics, Country, ISO3
63.3322, 2000, Dec Average, Uganda, UGA
92.1531, 2001, Jan Average, Uganda, UGA
28.2814, 2001, Feb Average, Uganda, UGA
94.5589, 2001, Mar Average, Uganda, UGA
134.373, 2001, Apr Average, Uganda, UGA
108.97, 2001, May Average, Uganda, UGA
89.3328, 2001, Jun Average, Uganda, UGA
118.397, 2001, Jul Average, Uganda, UGA
98.3384, 2001, Aug Average, Uganda, UGA
106.291, 2001, Sep Average, Uganda, UGA
192.719, 2001, Oct Average, Uganda, UGA
132.708, 2001, Nov Average, Uganda, UGA
29.8501, 2001, Dec Average, Uganda, UGA
61.7233, 2002, Jan Average, Uganda, UGA
64.7914, 2002, Feb Average, Uganda, UGA
121.566, 2002, Mar Average, Uganda, UGA
140.714, 2002, Apr Average, Uganda, UGA
151.458, 2002, May Average, Uganda, UGA
64.8737, 2002, Jun Average, Uganda, UGA
52.9848, 2002, Jul Average, Uganda, UGA
66.8672, 2002, Aug Average, Uganda, UGA
69.3666, 2002, Sep Average, Uganda, UGA
191.545, 2002, Oct Average, Uganda, UGA
123.772, 2002, Nov Average, Uganda, UGA
142.893, 2002, Dec Average, Uganda, UGA
31.0686, 2003, Jan Average, Uganda, UGA
39.2733, 2003, Feb Average, Uganda, UGA
126.856, 2003, Mar Average, Uganda, UGA
187.639, 2003, Apr Average, Uganda, UGA
178.649, 2003, May Average, Uganda, UGA
63.1316, 2003, Jun Average, Uganda, UGA
80.9174, 2003, Jul Average, Uganda, UGA
150.1, 2003, Aug Average, Uganda, UGA
119.643, 2003, Sep Average, Uganda, UGA
86.2388, 2003, Oct Average, Uganda, UGA
51.3099, 2003, Nov Average, Uganda, UGA
61.6367, 2003, Dec Average, Uganda, UGA
80.9537, 2004, Jan Average, Uganda, UGA
18.5623, 2004, Feb Average, Uganda, UGA
77.2361, 2004, Mar Average, Uganda, UGA
162.384, 2004, Apr Average, Uganda, UGA
67.5661, 2004, May Average, Uganda, UGA
75.16, 2004, Jun Average, Uganda, UGA
58.7136, 2004, Jul Average, Uganda, UGA
176.267, 2004, Aug Average, Uganda, UGA
100.168, 2004, Sep Average, Uganda, UGA
112.371, 2004, Oct Average, Uganda, UGA
151.959, 2004, Nov Average, Uganda, UGA
44.8417, 2004, Dec Average, Uganda, UGA
43.6629, 2005, Jan Average, Uganda, UGA
27.3429, 2005, Feb Average, Uganda, UGA
96.334, 2005, Mar Average, Uganda, UGA
88.2134, 2005, Apr Average, Uganda, UGA
140.75, 2005, May Average, Uganda, UGA
71.5542, 2005, Jun Average, Uganda, UGA
62.2143, 2005, Jul Average, Uganda, UGA
79.5569, 2005, Aug Average, Uganda, UGA
109.66, 2005, Sep Average, Uganda, UGA
121.888, 2005, Oct Average, Uganda, UGA
34.5388, 2005, Nov Average, Uganda, UGA
21.8096, 2005, Dec Average, Uganda, UGA
26.0479, 2006, Jan Average, Uganda, UGA
50.9719, 2006, Feb Average, Uganda, UGA
167.349, 2006, Mar Average, Uganda, UGA
141.348, 2006, Apr Average, Uganda, UGA
153.774, 2006, May Average, Uganda, UGA
47.7199, 2006, Jun Average, Uganda, UGA
48.8077, 2006, Jul Average, Uganda, UGA
185.479, 2006, Aug Average, Uganda, UGA
132.975, 2006, Sep Average, Uganda, UGA
108.785, 2006, Oct Average, Uganda, UGA
164.075, 2006, Nov Average, Uganda, UGA
120.546, 2006, Dec Average, Uganda, UGA
57.2492, 2007, Jan Average, Uganda, UGA
56.6984, 2007, Feb Average, Uganda, UGA
63.0324, 2007, Mar Average, Uganda, UGA
162.334, 2007, Apr Average, Uganda, UGA
154.056, 2007, May Average, Uganda, UGA
90.7677, 2007, Jun Average, Uganda, UGA
190.343, 2007, Jul Average, Uganda, UGA
202.158, 2007, Aug Average, Uganda, UGA
350.741, 2007, Sep Average, Uganda, UGA
81.2506, 2007, Oct Average, Uganda, UGA
77.866, 2007, Nov Average, Uganda, UGA
41.2106, 2007, Dec Average, Uganda, UGA
59.0042, 2008, Jan Average, Uganda, UGA
22.4644, 2008, Feb Average, Uganda, UGA
92.5551, 2008, Mar Average, Uganda, UGA
88.0703, 2008, Apr Average, Uganda, UGA
96.5084, 2008, May Average, Uganda, UGA
91.2533, 2008, Jun Average, Uganda, UGA
71.8137, 2008, Jul Average, Uganda, UGA
112.294, 2008, Aug Average, Uganda, UGA
220.676, 2008, Sep Average, Uganda, UGA
223.208, 2008, Oct Average, Uganda, UGA
141.53, 2008, Nov Average, Uganda, UGA
12.1728, 2008, Dec Average, Uganda, UGA
65.921, 2009, Jan Average, Uganda, UGA
88.2387, 2009, Feb Average, Uganda, UGA
48.7585, 2009, Mar Average, Uganda, UGA
170.534, 2009, Apr Average, Uganda, UGA
112.075, 2009, May Average, Uganda, UGA
26.0754, 2009, Jun Average, Uganda, UGA
56.6705, 2009, Jul Average, Uganda, UGA
75.4037, 2009, Aug Average, Uganda, UGA
160.162, 2009, Sep Average, Uganda, UGA
195.059, 2009, Oct Average, Uganda, UGA
112.428, 2009, Nov Average, Uganda, UGA
79.4157, 2009, Dec Average, Uganda, UGA
67.6755, 2010, Jan Average, Uganda, UGA
126.883, 2010, Feb Average, Uganda, UGA
148.939, 2010, Mar Average, Uganda, UGA
136.879, 2010, Apr Average, Uganda, UGA
155.377, 2010, May Average, Uganda, UGA
210.652, 2010, Jun Average, Uganda, UGA
92.3488, 2010, Jul Average, Uganda, UGA
114.01, 2010, Aug Average, Uganda, UGA
78.0717, 2010, Sep Average, Uganda, UGA
167.933, 2010, Oct Average, Uganda, UGA
71.9231, 2010, Nov Average, Uganda, UGA
53.9018, 2010, Dec Average, Uganda, UGA
33.3922, 2011, Jan Average, Uganda, UGA
21.5418, 2011, Feb Average, Uganda, UGA
128.409, 2011, Mar Average, Uganda, UGA
127.541, 2011, Apr Average, Uganda, UGA
139.051, 2011, May Average, Uganda, UGA
139.957, 2011, Jun Average, Uganda, UGA
72.1242, 2011, Jul Average, Uganda, UGA
143.722, 2011, Aug Average, Uganda, UGA
182.45, 2011, Sep Average, Uganda, UGA
133.28, 2011, Oct Average, Uganda, UGA
147.614, 2011, Nov Average, Uganda, UGA
57.2759, 2011, Dec Average, Uganda, UGA
11.2074, 2012, Jan Average, Uganda, UGA
17.9534, 2012, Feb Average, Uganda, UGA
51.5501, 2012, Mar Average, Uganda, UGA
234.422, 2012, Apr Average, Uganda, UGA
121.697, 2012, May Average, Uganda, UGA
173.773, 2012, Jun Average, Uganda, UGA
86.8524, 2012, Jul Average, Uganda, UGA
71.9332, 2012, Aug Average, Uganda, UGA
231.242, 2012, Sep Average, Uganda, UGA
238.557, 2012, Oct Average, Uganda, UGA
124.078, 2012, Nov Average, Uganda, UGA
135.148, 2012, Dec Average, Uganda, UGA
65.2668, 2013, Jan Average, Uganda, UGA
26.8944, 2013, Feb Average, Uganda, UGA
189.564, 2013, Mar Average, Uganda, UGA
207.057, 2013, Apr Average, Uganda, UGA
129.114, 2013, May Average, Uganda, UGA
56.1212, 2013, Jun Average, Uganda, UGA
86.0767, 2013, Jul Average, Uganda, UGA
218.103, 2013, Aug Average, Uganda, UGA
275.043, 2013, Sep Average, Uganda, UGA
152.592, 2013, Oct Average, Uganda, UGA
127.67, 2013, Nov Average, Uganda, UGA
84.2901, 2013, Dec Average, Uganda, UGA
39.4933, 2014, Jan Average, Uganda, UGA
39.839, 2014, Feb Average, Uganda, UGA
90.637, 2014, Mar Average, Uganda, UGA
68.9749, 2014, Apr Average, Uganda, UGA
